"Experiment name","Kvalue","Optimal solution percentage","Min error treatments","Max error treatments","Mean error treatments","Min error length","Max error length","Mean error length","Gain moyen"
"Relief très peu dense, labyrinthe très ouvert",2,2.00,-99.25,0.00,-95.20,0.00,23.11,9.26,95.20
"Relief très peu dense, labyrinthe très ouvert",3,0.00,-99.42,0.00,-97.87,7.93,42.55,21.95,97.87
"Relief très peu dense, labyrinthe très ouvert",4,0.00,-99.45,0.00,-98.58,8.81,54.22,28.89,98.58
"Relief très peu dense, labyrinthe très ouvert",5,0.00,-99.46,0.00,-98.83,8.81,63.11,31.80,98.83
"Relief très peu dense, labyrinthe très ouvert",6,0.00,-99.47,0.00,-98.96,10.88,64.00,34.02,98.96
"Relief très peu dense, labyrinthe très ouvert",7,0.00,-99.46,0.00,-98.98,11.49,61.33,35.85,98.98
"Relief très peu dense, labyrinthe très ouvert",8,0.00,-99.47,0.00,-98.99,11.49,61.33,36.33,98.99
"Relief très peu dense, labyrinthe assez ouvert",2,8.00,-98.75,0.00,-91.68,0.00,15.02,3.94,91.68
"Relief très peu dense, labyrinthe assez ouvert",3,0.00,-99.05,0.00,-96.75,0.74,37.19,16.72,96.75
"Relief très peu dense, labyrinthe assez ouvert",4,0.00,-99.19,0.00,-97.67,4.46,56.70,25.05,97.67
"Relief très peu dense, labyrinthe assez ouvert",5,0.00,-99.28,0.00,-98.14,9.06,59.00,30.79,98.14
"Relief très peu dense, labyrinthe assez ouvert",6,0.00,-99.29,0.00,-98.36,9.06,65.68,34.36,98.36
"Relief très peu dense, labyrinthe assez ouvert",7,0.00,-99.32,0.00,-98.44,10.45,86.75,36.30,98.44
"Relief très peu dense, labyrinthe assez ouvert",8,0.00,-99.32,0.00,-98.52,10.45,88.35,38.02,98.52
"Relief très peu dense, labyrinthe peu ouvert",2,100.00,-66.75,0.00,-53.61,0.00,0.00,0.00,53.61
"Relief très peu dense, labyrinthe peu ouvert",3,98.00,-81.84,0.00,-65.85,0.00,0.53,0.01,65.85
"Relief très peu dense, labyrinthe peu ouvert",4,91.00,-90.61,0.00,-73.85,0.00,4.13,0.15,73.85
"Relief très peu dense, labyrinthe peu ouvert",5,67.00,-95.33,0.00,-79.19,0.00,24.07,0.94,79.19
"Relief très peu dense, labyrinthe peu ouvert",6,49.00,-95.81,0.00,-82.17,0.00,32.50,2.76,82.17
"Relief très peu dense, labyrinthe peu ouvert",7,38.00,-96.83,0.00,-83.77,0.00,33.91,4.20,83.77
"Relief très peu dense, labyrinthe peu ouvert",8,26.00,-96.85,0.00,-84.16,0.00,33.91,6.80,84.16
"Relief dense, labyrinthe moyennement ouvert",2,96.00,-79.03,0.00,-49.61,-1.55,0.00,-0.03,49.61
"Relief dense, labyrinthe moyennement ouvert",3,88.00,-91.21,0.00,-60.57,-3.73,4.53,0.04,60.57
"Relief dense, labyrinthe moyennement ouvert",4,82.00,-94.35,0.00,-65.77,-12.57,40.79,0.38,65.77
"Relief dense, labyrinthe moyennement ouvert",5,69.00,-94.80,25.75,-67.88,-29.56,53.26,0.62,67.88
"Relief dense, labyrinthe moyennement ouvert",6,58.00,-95.30,51.17,-69.66,-29.56,47.03,1.05,69.66
"Relief dense, labyrinthe moyennement ouvert",7,43.00,-96.02,41.13,-73.22,-33.73,37.14,1.75,73.22
"Relief dense, labyrinthe moyennement ouvert",8,29.00,-97.04,10.82,-77.74,-41.02,36.46,0.51,77.74
"Relief très dense, labyrinthe moyennement ouvert",2,98.00,-49.32,0.00,-34.30,0.00,0.57,0.01,34.30
"Relief très dense, labyrinthe moyennement ouvert",3,96.00,-61.54,0.00,-45.97,-0.88,2.93,0.03,45.97
"Relief très dense, labyrinthe moyennement ouvert",4,94.00,-74.73,0.00,-54.90,-8.07,2.93,-0.02,54.90
"Relief très dense, labyrinthe moyennement ouvert",5,94.00,-84.65,0.00,-62.04,-14.66,2.93,-0.17,62.04
"Relief très dense, labyrinthe moyennement ouvert",6,89.00,-89.95,0.00,-66.82,-23.90,11.59,-0.25,66.82
"Relief très dense, labyrinthe moyennement ouvert",7,85.00,-91.66,0.00,-71.09,-28.51,11.59,-0.33,71.09
"Relief très dense, labyrinthe moyennement ouvert",8,78.00,-92.74,0.00,-73.91,-28.51,11.59,-0.62,73.91
"Relief très dense et fortement pondéré, labyrinthe moyennement ouvert",2,94.00,-33.12,0.00,-17.39,0.00,3.53,0.06,17.39
"Relief très dense et fortement pondéré, labyrinthe moyennement ouvert",3,92.00,-44.41,0.00,-23.75,-0.35,1.07,0.03,23.75
"Relief très dense et fortement pondéré, labyrinthe moyennement ouvert",4,89.00,-53.63,74.90,-28.04,-2.34,2.57,0.05,28.04
"Relief très dense et fortement pondéré, labyrinthe moyennement ouvert",5,88.00,-59.60,148.91,-31.11,-1.95,5.23,0.11,31.11
"Relief très dense et fortement pondéré, labyrinthe moyennement ouvert",6,85.00,-65.48,20.05,-34.75,-3.85,11.04,0.18,34.75
"Relief très dense et fortement pondéré, labyrinthe moyennement ouvert",7,83.00,-69.35,102.28,-35.91,-0.96,11.86,0.30,35.91
"Relief très dense et fortement pondéré, labyrinthe moyennement ouvert",8,82.00,-74.57,123.40,-37.98,-0.96,7.36,0.33,37.98
